journeyId,order,trustId,wardId,wardName,stage,handoverNote,simulationOnly
journey-critical-care-repatriation,1,jpuh,jpuh-ward-2,Ward 2,admission,Admitted under Cardiology/Medical; observations and plan documented for handover.,true
journey-critical-care-repatriation,2,jpuh,jpuh-icu-hdu,ICU/HDU,escalation,Escalation-readiness cue reviewed by a human; local critical-care review before inter-trust transfer.,true
journey-critical-care-repatriation,3,nnuh,nnuh-critical-care,Critical Care Complex (ITU/HDU),specialist-care,Inter-trust handover to Norfolk & Norwich Critical Care Complex; SBAR summary and plan carried across so the health plan continues.,true
journey-critical-care-repatriation,4,nnuh,nnuh-gissing,Gissing Ward,step-down,Step-down once stable; repatriation criteria documented.,true
journey-critical-care-repatriation,5,jpuh,jpuh-ward-2,Ward 2,repatriation,Repatriated to James Paget with a structured handover; continuing plan and outstanding tasks visible for review.,true
journey-critical-care-repatriation,6,jpuh,jpuh-ward-18,Ward 18 & Discharge Lounge,discharge,Discharge via the James Paget discharge lounge; follow-up ownership documented.,true
journey-specialist-neuro-transfer,1,jpuh,jpuh-ed,Emergency Department (A&E),admission,Presented to James Paget Emergency Department; assessment and plan documented.,true
journey-specialist-neuro-transfer,2,jpuh,jpuh-icu-hdu,ICU/HDU,escalation,Stabilised locally; tertiary neurosciences referral decision documented and reviewed by a human.,true
journey-specialist-neuro-transfer,3,cuh,cuh-a4,Ward A4,specialist-care,Transfer to Addenbrooke's neuromedical/neurosurgical ward; the health plan and history travel with the patient.,true
journey-specialist-neuro-transfer,4,cuh,cuh-critical-care,Neuro & General Critical Care,specialist-care,Addenbrooke's critical care as needed; plan updated and shared for continuity.,true
journey-specialist-neuro-transfer,5,jpuh,jpuh-ward-1,Ward 1,repatriation,Repatriated to the James Paget Stroke Unit for ongoing rehabilitation; handover completeness reviewed.,true
journey-relocation-continues,1,jpuh,jpuh-ward-12,Ward 12,admission,Prior episode under James Paget Older People's Medicine; documented plan forms the portable history.,true
journey-relocation-continues,2,cuh,cuh-c4,Ward C4,relocation-care,"After relocating, a new episode is managed at Addenbrooke's frail-elderly ward with the portable history available for continuity.",true
journey-relocation-continues,3,cuh,cuh-c5,Ward C5,step-down,General medicine / nephrology review; continuing plan documented at the new home trust.,true
journey-temporary-visitor-returns,1,wsh,wsh-ed,Emergency Department,found-away,Taken ill while away from home; attends West Suffolk Emergency Department; portable history supports safe assessment.,true
journey-temporary-visitor-returns,2,wsh,wsh-amu,Acute Medical Unit,treatment-away,Managed on the West Suffolk Acute Medical Unit; plan documented and shareable for continuity.,true
journey-temporary-visitor-returns,3,nnuh,nnuh-holt,Holt Ward,return-home,Returns home; Norfolk & Norwich Acute Medical Unit continues the plan with the away-episode visible.,true
journey-temporary-visitor-returns,4,nnuh,nnuh-gunthorpe,Gunthorpe Ward,discharge,Discharge with follow-up; away-episode incorporated into the continuing record.,true
journey-cross-region-discharge-package,1,qeh,qeh-tilney,Tilney Ward,admission,Prior general-medicine episode at Queen Elizabeth King's Lynn forms the portable history.,true
journey-cross-region-discharge-package,2,esneft,esneft-brook,Brook Ward,relocation-care,"After moving to East Suffolk, a new episode is assessed at Ipswich Acute Medical Unit (Brook Ward) with the history available.",true
journey-cross-region-discharge-package,3,esneft,esneft-woodbridge,Woodbridge Ward,step-down,Older people's medicine review on Woodbridge Ward; community needs and discharge-readiness documented.,true
journey-cross-region-discharge-package,4,esneft,esneft-woodbridge,Woodbridge Ward,packages-of-care,"Discharge home with a package of care near the new home; follow-up ownership documented (simulation-only, human-review-framed).",true
