id,code,name,category,severity,description,trigger_signals,rationale_template,applicable_ward_types,simulation_only
flag-surgical-documentation,SURG_DOCUMENTATION_01,Surgical documentation gap cue,documentation,moderate,Simulation-only documentation gap cue for surgical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""electrolyte_plan_gap"",""documentation_note_open""]","Human review required: check visible documentation gap evidence, missing information and ownership before documenting the current simulation status.","[""surgical""]",true
flag-surgical-electrolyte-review,SURG_ELECTROLYTE_REVIEW_02,Surgical electrolyte review cue,electrolyte-review,moderate,Simulation-only electrolyte review cue for surgical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""potassium"",""magnesium"",""creatinine_trend"",""electrolyte_plan_gap""]","Human review required: check visible electrolyte review evidence, missing information and ownership before documenting the current simulation status.","[""surgical""]",true
flag-surgical-infection-review,SURG_INFECTION_REVIEW_03,Surgical infection review cue,infection-review,moderate,Simulation-only infection review cue for surgical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""urine_culture"",""NEWS2"",""infection_review_note""]","Human review required: check visible infection review evidence, missing information and ownership before documenting the current simulation status.","[""surgical""]",true
flag-surgical-sepsis-screen,SURG_SEPSIS_SCREEN_04,Surgical sepsis-screen cue,sepsis-screen,high,Simulation-only sepsis-screen cue for surgical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""sepsis_screen"",""NEWS2""]","Human review required: check visible sepsis-screen evidence, missing information and ownership before documenting the current simulation status.","[""surgical""]",true
flag-surgical-falls-risk,SURG_FALLS_RISK_05,Surgical falls-risk cue,falls-risk,low,Simulation-only falls-risk cue for surgical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""falls_risk"",""mobility_note""]","Human review required: check visible falls-risk evidence, missing information and ownership before documenting the current simulation status.","[""surgical""]",true
flag-surgical-medication-timing,SURG_MEDICATION_TIMING_06,Surgical medication-timing cue,medication-timing,moderate,Simulation-only medication-timing cue for surgical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""medication_timing"",""medicine_chart_time""]","Human review required: check visible medication-timing evidence, missing information and ownership before documenting the current simulation status.","[""surgical""]",true
flag-surgical-deteriorating-obs,SURG_DETERIORATING_OBS_07,Surgical deteriorating observations cue,deteriorating-obs,high,Simulation-only deteriorating observations cue for surgical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""deteriorating_obs"",""NEWS2""]","Human review required: check visible deteriorating observations evidence, missing information and ownership before documenting the current simulation status.","[""surgical""]",true
flag-surgical-escalation,SURG_ESCALATION_08,Surgical escalation readiness cue,escalation,high,Simulation-only escalation readiness cue for surgical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""NEWS2"",""active_escalation""]","Human review required: check visible escalation readiness evidence, missing information and ownership before documenting the current simulation status.","[""surgical""]",true
flag-surgical-handover,SURG_HANDOVER_09,Surgical handover completeness cue,handover,moderate,Simulation-only handover completeness cue for surgical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""handover_completion"",""open_task""]","Human review required: check visible handover completeness evidence, missing information and ownership before documenting the current simulation status.","[""surgical""]",true
flag-surgical-discharge,SURG_DISCHARGE_10,Surgical discharge-readiness blocker cue,discharge,high,Simulation-only discharge-readiness blocker cue for surgical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""discharge_blocker"",""discharge_checklist""]","Human review required: check visible discharge-readiness blocker evidence, missing information and ownership before documenting the current simulation status.","[""surgical""]",true
flag-surgical-learning,SURG_LEARNING_11,Surgical learning prompt cue,learning,low,Simulation-only learning prompt cue for surgical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""learning_prompt"",""simulation_scenario""]","Human review required: check visible learning prompt evidence, missing information and ownership before documenting the current simulation status.","[""surgical""]",true
flag-general-medical-documentation,GMED_DOCUMENTATION_01,General Medical documentation gap cue,documentation,moderate,Simulation-only documentation gap cue for general medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""electrolyte_plan_gap"",""documentation_note_open""]","Human review required: check visible documentation gap evidence, missing information and ownership before documenting the current simulation status.","[""general medical""]",true
flag-general-medical-electrolyte-review,GMED_ELECTROLYTE_REVIEW_02,General Medical electrolyte review cue,electrolyte-review,moderate,Simulation-only electrolyte review cue for general medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""potassium"",""magnesium"",""creatinine_trend"",""electrolyte_plan_gap""]","Human review required: check visible electrolyte review evidence, missing information and ownership before documenting the current simulation status.","[""general medical""]",true
flag-general-medical-infection-review,GMED_INFECTION_REVIEW_03,General Medical infection review cue,infection-review,moderate,Simulation-only infection review cue for general medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""urine_culture"",""NEWS2"",""infection_review_note""]","Human review required: check visible infection review evidence, missing information and ownership before documenting the current simulation status.","[""general medical""]",true
flag-general-medical-sepsis-screen,GMED_SEPSIS_SCREEN_04,General Medical sepsis-screen cue,sepsis-screen,high,Simulation-only sepsis-screen cue for general medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""sepsis_screen"",""NEWS2""]","Human review required: check visible sepsis-screen evidence, missing information and ownership before documenting the current simulation status.","[""general medical""]",true
flag-general-medical-falls-risk,GMED_FALLS_RISK_05,General Medical falls-risk cue,falls-risk,low,Simulation-only falls-risk cue for general medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""falls_risk"",""mobility_note""]","Human review required: check visible falls-risk evidence, missing information and ownership before documenting the current simulation status.","[""general medical""]",true
flag-general-medical-medication-timing,GMED_MEDICATION_TIMING_06,General Medical medication-timing cue,medication-timing,moderate,Simulation-only medication-timing cue for general medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""medication_timing"",""medicine_chart_time""]","Human review required: check visible medication-timing evidence, missing information and ownership before documenting the current simulation status.","[""general medical""]",true
flag-general-medical-deteriorating-obs,GMED_DETERIORATING_OBS_07,General Medical deteriorating observations cue,deteriorating-obs,high,Simulation-only deteriorating observations cue for general medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""deteriorating_obs"",""NEWS2""]","Human review required: check visible deteriorating observations evidence, missing information and ownership before documenting the current simulation status.","[""general medical""]",true
flag-general-medical-escalation,GMED_ESCALATION_08,General Medical escalation readiness cue,escalation,high,Simulation-only escalation readiness cue for general medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""NEWS2"",""active_escalation""]","Human review required: check visible escalation readiness evidence, missing information and ownership before documenting the current simulation status.","[""general medical""]",true
flag-general-medical-handover,GMED_HANDOVER_09,General Medical handover completeness cue,handover,moderate,Simulation-only handover completeness cue for general medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""handover_completion"",""open_task""]","Human review required: check visible handover completeness evidence, missing information and ownership before documenting the current simulation status.","[""general medical""]",true
flag-general-medical-discharge,GMED_DISCHARGE_10,General Medical discharge-readiness blocker cue,discharge,high,Simulation-only discharge-readiness blocker cue for general medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""discharge_blocker"",""discharge_checklist""]","Human review required: check visible discharge-readiness blocker evidence, missing information and ownership before documenting the current simulation status.","[""general medical""]",true
flag-general-medical-learning,GMED_LEARNING_11,General Medical learning prompt cue,learning,low,Simulation-only learning prompt cue for general medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""learning_prompt"",""simulation_scenario""]","Human review required: check visible learning prompt evidence, missing information and ownership before documenting the current simulation status.","[""general medical""]",true
