id,title,ward_type,description,review_cues,simulation_only
ward-sim-surgical-01,Surgical documentation and handover review,surgical,"Simulation-only ward scenario focused on documentation gaps, handover completeness and human review. Fictional patients only; human review required and clinical judgement remains central.","[""flag-surgical-documentation"",""flag-surgical-handover"",""flag-surgical-learning""]",true
ward-sim-surgical-02,Surgical escalation readiness review,surgical,Simulation-only ward scenario focused on escalation readiness cues and visible ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-surgical-escalation"",""flag-surgical-deteriorating-obs"",""flag-surgical-handover""]",true
ward-sim-surgical-03,Surgical discharge-readiness review,surgical,Simulation-only ward scenario focused on discharge-readiness blockers and documented follow-up ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-surgical-discharge"",""flag-surgical-documentation"",""flag-surgical-handover""]",true
ward-sim-surgical-04,Surgical medicine timing documentation review,surgical,"Simulation-only ward scenario focused on medicine timing, notes and review ownership. Fictional patients only; human review required and clinical judgement remains central.","[""flag-surgical-medication-timing"",""flag-surgical-documentation"",""flag-surgical-learning""]",true
ward-sim-surgical-05,Surgical observation trend review,surgical,"Simulation-only ward scenario focused on NEWS2 observation sets, trend visibility and structured review support. Fictional patients only; human review required and clinical judgement remains central.","[""flag-surgical-deteriorating-obs"",""flag-surgical-escalation"",""flag-surgical-documentation""]",true
ward-sim-general-medical-01,General Medical documentation and handover review,general medical,"Simulation-only ward scenario focused on documentation gaps, handover completeness and human review. Fictional patients only; human review required and clinical judgement remains central.","[""flag-general-medical-documentation"",""flag-general-medical-handover"",""flag-general-medical-learning""]",true
ward-sim-general-medical-02,General Medical escalation readiness review,general medical,Simulation-only ward scenario focused on escalation readiness cues and visible ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-general-medical-escalation"",""flag-general-medical-deteriorating-obs"",""flag-general-medical-handover""]",true
ward-sim-general-medical-03,General Medical discharge-readiness review,general medical,Simulation-only ward scenario focused on discharge-readiness blockers and documented follow-up ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-general-medical-discharge"",""flag-general-medical-documentation"",""flag-general-medical-handover""]",true
ward-sim-general-medical-04,General Medical medicine timing documentation review,general medical,"Simulation-only ward scenario focused on medicine timing, notes and review ownership. Fictional patients only; human review required and clinical judgement remains central.","[""flag-general-medical-medication-timing"",""flag-general-medical-documentation"",""flag-general-medical-learning""]",true
ward-sim-general-medical-05,General Medical observation trend review,general medical,"Simulation-only ward scenario focused on NEWS2 observation sets, trend visibility and structured review support. Fictional patients only; human review required and clinical judgement remains central.","[""flag-general-medical-deteriorating-obs"",""flag-general-medical-escalation"",""flag-general-medical-documentation""]",true
